,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,4.173401021957398,0.24003006381754247,0.23880228996276856,0.019239633440310287,6,5,"{'max_features': 6, 'min_samples_leaf': 5}",0.5,0.17717123757393582,0.19111474693996988,0.08298318851923622,0.5023332418336536,0.2907204829733591,0.1758109173220024,1,0.0796580980772588,0.06060615741287816,0.07091373515185669,0.059062281557411264,0.0707502704334441,0.06819810852656981,0.007567305663072642,29,0.12809120607638314,0.02299314477151805,0.04212880799471657,0.013364388868203316,0.25604154568627324,0.09252381867941886,0.09126168214071965,13,0.0,0.01587826662256037,0.02016467820534364,0.004212891447830361,0.20044101433296582,0.048139370121740035,0.07650632326893274,27
1,4.079801225662232,0.3828270063400441,0.22300162315368652,0.010059115842215085,6,15,"{'max_features': 6, 'min_samples_leaf': 15}",0.5,0.16056721648008887,0.14379114277060426,0.1165333730737883,0.5,0.28417834646489626,0.17677731064239074,8,0.07203430937842265,0.05821149898247024,0.06062520966218812,0.0578969579357686,0.06694802392540194,0.06314319997685032,0.005508421137613121,30,0.13482812137080596,0.024461669334652374,0.051124615618300784,0.01947493678821629,0.1935261258763812,0.08468309379767133,0.06836113601314364,16,0.0,0.016152019002375298,0.025018181818181818,0.02040531097134871,0.19969244288224958,0.05225359093483108,0.07419980696947309,3
2,4.042400646209717,0.2926463663795319,0.22580089569091796,0.018680603960470162,6,25,"{'max_features': 6, 'min_samples_leaf': 25}",0.5,0.14643051595854067,0.1290442178996928,0.12815315294911317,0.5,0.2807255773614693,0.17915540062380209,13,0.06725318107504082,0.058144725963940415,0.05851365019099465,0.057912436139703864,0.06611807312498426,0.0615884132989328,0.004181707086902992,31,0.13465738900133628,0.024048410880066866,0.05433706972124607,0.022588190743312597,0.1780271219545781,0.08273163646010798,0.06268128872327758,17,0.0,0.015641772734243213,0.026003075632601708,0.026202090592334495,0.19969244288224958,0.0535078763682858,0.0737142891508765,2
3,4.042400169372558,0.20900652338129133,0.20419998168945314,0.010047940614968286,6,35,"{'max_features': 6, 'min_samples_leaf': 35}",0.5,0.13682304958467298,0.11752477059399599,0.13248602516029806,0.5,0.2773667690677934,0.181892024315561,18,0.06347959638834048,0.05791844410328059,0.05837763326675617,0.058094839466994765,0.0688225985459338,0.061338622354261164,0.004279740004174347,32,0.13130284483564747,0.024431773399684185,0.05765280069044511,0.030686667349139527,0.21651406150771543,0.09211762955652635,0.07287374842676377,14,0.0,0.015313016063654107,0.027560118886787353,0.028638954539135265,0.19969244288224958,0.05424090647436526,0.07345873726057446,1
4,6.559999752044678,0.43246376806001646,0.2236003875732422,0.021285044563149974,12,5,"{'max_features': 12, 'min_samples_leaf': 5}",0.5,0.17243612914681533,0.18823039317382192,0.08167826115578893,0.5111172110897612,0.29069239891323745,0.17920194610408313,2,0.08655937702039997,0.07629554044911407,0.08662730155887197,0.07882874119959274,0.06634054101896207,0.07893030024938816,0.007521980490030827,23,0.13456636692980364,0.021968982514501793,0.036911363384485585,0.005476844692429712,0.16853984327886534,0.07349268016001723,0.06539571310574896,20,0.0,0.015699100572363043,0.019414225941422596,0.003926518019913056,0.20331022142697383,0.0484700131921345,0.07775233335907436,25
5,5.798799753189087,0.427912250452988,0.23180007934570312,0.035255776565259085,12,15,"{'max_features': 12, 'min_samples_leaf': 15}",0.5,0.1490382568314476,0.1594270187381077,0.08649044975867337,0.5000686247598134,0.27900487001760843,0.18218672630243582,17,0.08667207571400781,0.06414018845353406,0.07691650946171276,0.0683943233432711,0.06491896479993181,0.07220841235449152,0.008533970865905382,26,0.1229692349922929,0.024130398216873565,0.048382192048466444,0.01268735163387324,0.14462566212701425,0.07055896780370408,0.053346521404206704,21,0.0,0.015733456732993985,0.023181332926643282,0.006168512547315295,0.19971437987476653,0.04895953641634382,0.07579395609455589,24
6,5.498201131820679,0.430344467272371,0.22620081901550293,0.03794324259775806,12,25,"{'max_features': 12, 'min_samples_leaf': 25}",0.5,0.13984253901646,0.1466037009959574,0.09508651249423597,0.5,0.2763065505013307,0.1835012133327062,20,0.08632827667154824,0.06197615911607716,0.07367722147913641,0.06215626972345516,0.0669464189379361,0.07021686918563061,0.009111859306806285,28,0.13113595846920031,0.024027725308902008,0.05229614369617033,0.015543319360758473,0.1751249514191057,0.07962561965082737,0.06279809661932424,18,0.0,0.015414840562188304,0.02490842490842491,0.010892333472978633,0.19969244288224958,0.05018160836516829,0.07518349888528436,7
7,5.411399269104004,0.40027496548708874,0.20200047492980958,0.014083894390257442,12,35,"{'max_features': 12, 'min_samples_leaf': 35}",0.5,0.1351760553491528,0.13741643859692035,0.10285590733105701,0.5,0.275089680255426,0.18404538586672078,23,0.09470058047528195,0.05992467377100354,0.0669922550464982,0.06167668379027728,0.06842401991439016,0.07034364259949023,0.012584500458248226,27,0.14285865109362228,0.024551810108268582,0.056550576825456354,0.016168265193250035,0.1954145524352051,0.08710877113116047,0.07031062988493267,15,0.0,0.015258040388930444,0.026454273929739723,0.014775578477836632,0.19969244288224958,0.051236067135751275,0.07470254746874312,4
8,7.654399299621582,0.7039291841224303,0.2118013858795166,0.03068923616001794,18,5,"{'max_features': 18, 'min_samples_leaf': 5}",0.5,0.16811276927857483,0.1872633049744722,0.08154101163616224,0.5142739500411748,0.29023820718607685,0.1807014091262903,3,0.09403363677229441,0.08760789977995241,0.09220624354381016,0.0910507317100744,0.06382639218424305,0.08574498079807488,0.011157918451252576,18,0.1390143825430677,0.02079639750963842,0.03390153728521356,0.0038236598845171354,0.1219201524873871,0.06389122594196478,0.05545358983714978,31,0.0,0.015539009388151503,0.017523167649536646,0.003925417075564278,0.2043615107913669,0.04826982098092387,0.07832966248074065,26
9,7.306398344039917,0.7353660627937393,0.2067995548248291,0.01873264508163226,18,15,"{'max_features': 18, 'min_samples_leaf': 15}",0.5,0.15226362054267464,0.17452975053201175,0.08325874448548341,0.5015097447158935,0.28231237205521265,0.18087979957011532,10,0.09197082498037305,0.0770224787602694,0.08652225302113913,0.07617745965191873,0.06403067529125853,0.07914473834099175,0.009598748374185163,22,0.12944092690181078,0.024066680618102982,0.0448864815111761,0.008547972557343573,0.1253993296667026,0.06646827825102722,0.05110157442397724,28,0.0,0.015848353014294592,0.02538389219680351,0.004490597810833567,0.20017617264919624,0.04917980313422558,0.07601698844323972,22
