,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0,0.07179884910583496,0.002481832256526522,0.02160186767578125,0.004453843928753857,0.0001,l1,"{'C': 0.0001, 'penalty': 'l1'}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,3,0.11102977061981455,0.11092129347162905,0.11092129347162905,0.11092129347162905,0.11092129347162905,0.11094298890126615,4.339085927420049e-05,6
1,0.12200040817260742,0.008195227341335466,0.019400644302368163,0.005160197501850625,0.0001,l2,"{'C': 0.0001, 'penalty': 'l2'}",0.4981471314850398,0.7590959892036417,0.5072272667837742,0.5818007136975021,0.5,0.5692542202339915,0.09989696670934596,2,0.06448972398084374,0.6206156376296689,0.44790738588587814,0.14892987552962206,0.09182776285727157,0.2747540771766569,0.22050267650592598,2
2,0.11759748458862304,0.01946829392777089,0.019600534439086915,0.0070023245539724,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",0.44779284673602543,0.7651265126512652,0.7117711771177118,0.806409552566566,0.5,0.6462200178143137,0.1448102426462458,1,0.06299491969118848,0.8160137341033175,0.4874837819352405,0.1822114370093933,0.367560480304728,0.3832528706087735,0.2612948955152274,1
3,0.17940096855163573,0.014513756509480396,0.017002964019775392,0.0010990225391249902,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.5,0.48739546614557144,0.3438949028034838,0.5661289022122086,0.5,0.47948385423225276,0.0732067567460761,4,0.06732414104110063,0.12738158782289863,0.1717950347323051,0.11550513027830388,0.14145657753964266,0.12469249428285019,0.03430000186391402,5
4,0.9670017719268799,1.4326110823565865,0.01600203514099121,0.0010954111620510843,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.5,0.24205228648036367,0.1412552729332774,0.487606172091269,0.5,0.374182746300982,0.15247196623419115,5,0.13828891285007236,0.06133254088561548,0.1074028868048348,0.082760516797196,0.2846953549500133,0.13489604245754638,0.07916681249092324,3
5,0.28699984550476076,0.019400421106366583,0.01700172424316406,0.0015499122545337642,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.5,0.20782113896264728,0.1647291684974152,0.4304606208630745,0.5,0.36060218566462743,0.14522533479863167,6,0.15203484068966955,0.060308555160630224,0.08671106297674444,0.0820720654720389,0.17308708520035535,0.11084272189988768,0.0436690761403889,7
6,8.173602819442749,5.761376709424624,0.017401647567749024,0.0010220034737717387,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.5,0.1647173913109126,0.1559399146063385,0.3456127866423755,0.5,0.3332540185119253,0.15205661444782947,8,0.10157853719183405,0.05796091900753427,0.08081538679038797,0.064839955298604,0.3679763356420377,0.13463422678607959,0.11763309260284689,4
7,0.4839972496032715,0.031732278691874415,0.023401498794555664,0.011807673258829983,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5,0.170071179503347,0.16060745520063946,0.36857679042677804,0.5,0.33985108502615285,0.15038218726812236,7,0.14689643014240977,0.05798667910761138,0.08064103014103892,0.07025394713241145,0.19124697568535537,0.10940501244176537,0.05120103699005578,9
8,14.58180046081543,8.393669734342456,0.017601680755615235,0.0004881888633736882,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",0.5,0.17251426624957306,0.1588221545184988,0.3031213016992064,0.5,0.32689154449345564,0.15005183308627942,18,0.06409857458803579,0.05810071514520737,0.08370190176675232,0.06339175693229612,0.2799779064938286,0.10985417098522403,0.08550646441217145,8
9,0.6953965663909912,0.07031609476047114,0.01760134696960449,0.0013572119930712325,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.5,0.16253513904780542,0.15895940403812547,0.3130909165580297,0.5,0.32691709192879215,0.15188005834387935,17,0.06789863017975295,0.05799931576236248,0.08257542084192825,0.06431798299563725,0.18363091967540368,0.09128445389101691,0.04687367005679481,13
10,29.486598205566406,14.250894638749362,0.016600608825683594,0.0032002337609560987,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",0.5,0.17141732701955345,0.1607468185742538,0.3025712466937059,0.5,0.32694707845750265,0.1498671668182021,11,0.0637915858867,0.05810973451551174,0.08510123955778282,0.06318941919727979,0.24015759951642374,0.1020699157347396,0.06966428850303563,10
11,0.7599977493286133,0.13654703420535247,0.016802644729614256,0.0004007218053576839,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.5,0.1728584469756336,0.16067819381444046,0.3025712466937059,0.5,0.327221577496756,0.1495841436026926,9,0.06397639849917905,0.058106974424304375,0.08485854333708945,0.06331174649527553,0.17678014039783962,0.0894067606307376,0.04463658470339565,15
12,19.544395303726198,8.17557150019805,0.017801332473754882,0.0007471970622980367,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",0.5,0.1713487022597401,0.1607468185742538,0.3025712466937059,0.5,0.32693335350554,0.149881412190927,12,0.0637442379023442,0.05810996248333959,0.08517282185364493,0.06316962653253722,0.18570610620800115,0.09118055099597341,0.048170946404714976,14
13,0.8603978157043457,0.1862230875140623,0.017799758911132814,0.002134845710572547,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",0.5,0.17141732701955345,0.16081544333406714,0.3025712466937059,0.5,0.3269608034094653,0.14985194780998307,10,0.0637496802509263,0.058109957103811206,0.08527812607189943,0.06318151488907192,0.17459398195500997,0.08898265205414377,0.04381449111578766,16
14,19.20679726600647,8.679170572609788,0.014400863647460937,0.004177144723626108,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",0.5,0.1713487022597401,0.1607468185742538,0.3025712466937059,0.5,0.32693335350554,0.149881412190927,12,0.06374360351190439,0.05811000380750762,0.0852855553614161,0.06318053020436973,0.1963326442467842,0.09333046742639642,0.05234319693749702,12
15,0.8715958595275879,0.23964823319318632,0.018001270294189454,0.0012659509777578114,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",0.5,0.17128007749992677,0.1607468185742538,0.3025712466937059,0.5,0.32691962855357726,0.14989566123665066,15,0.063730191091353,0.05811004559717704,0.08533782574637877,0.06316845916735668,0.17416721203869792,0.08890274672819269,0.04365051949929249,17
16,13.580397462844848,5.136957706259273,0.013606643676757813,0.004166932977546688,10000.0,l1,"{'C': 10000.0, 'penalty': 'l1'}",0.5,0.1713487022597401,0.1607468185742538,0.3025712466937059,0.5,0.32693335350554,0.149881412190927,12,0.06374431396637001,0.058109975813948146,0.08514283770381012,0.06317965388864479,0.19891470501952008,0.09381829727845863,0.05336435829604548,11
17,0.8465972423553467,0.18993664681774677,0.016601705551147462,0.0019611152164323536,10000.0,l2,"{'C': 10000.0, 'penalty': 'l2'}",0.5,0.17128007749992677,0.1607468185742538,0.3025712466937059,0.5,0.32691962855357726,0.14989566123665066,15,0.0637275726572124,0.0581100382413086,0.0853363438641491,0.06316715613096317,0.17330903445511975,0.08873002906975061,0.04331579940190959,18
